timestamp,source,query,records,status,error
2026-04-23T01:40:41,pubmed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),35,ok,
2026-04-23T01:40:43,europe_pmc,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),35,ok,
2026-04-23T01:40:44,crossref,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),35,ok,
2026-04-23T01:40:48,pubmed,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",35,ok,
2026-04-23T01:40:50,europe_pmc,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",35,ok,
2026-04-23T01:40:51,crossref,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",35,ok,
2026-04-23T01:40:55,pubmed,"(rejuvenation OR ""age reversal"" OR ""reverse aging"" OR ""reverse ageing"")",35,ok,
2026-04-23T01:40:57,europe_pmc,"(rejuvenation OR ""age reversal"" OR ""reverse aging"" OR ""reverse ageing"")",35,ok,
2026-04-23T01:40:58,crossref,"(rejuvenation OR ""age reversal"" OR ""reverse aging"" OR ""reverse ageing"")",35,ok,
2026-04-23T01:41:02,pubmed,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",35,ok,
2026-04-23T01:41:04,europe_pmc,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",35,ok,
2026-04-23T01:41:06,crossref,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",35,ok,
2026-04-23T01:41:11,pubmed,"(aging OR ageing OR healthspan OR frailty) AND (exercise OR ""physical activity"" OR ""resistance training"")",35,ok,
2026-04-23T01:41:13,europe_pmc,"(aging OR ageing OR healthspan OR frailty) AND (exercise OR ""physical activity"" OR ""resistance training"")",35,ok,
2026-04-23T01:41:16,crossref,"(aging OR ageing OR healthspan OR frailty) AND (exercise OR ""physical activity"" OR ""resistance training"")",35,ok,
2026-04-23T01:41:19,pubmed,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),35,ok,
2026-04-23T01:41:22,europe_pmc,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),35,ok,
2026-04-23T01:41:23,crossref,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),35,ok,
2026-04-23T01:41:27,pubmed,"(aging OR ageing OR ""epigenetic clock"") AND (NAD OR ""nicotinamide riboside"" OR NMN OR sirtuin)",35,ok,
2026-04-23T01:41:28,europe_pmc,"(aging OR ageing OR ""epigenetic clock"") AND (NAD OR ""nicotinamide riboside"" OR NMN OR sirtuin)",35,ok,
2026-04-23T01:41:30,crossref,"(aging OR ageing OR ""epigenetic clock"") AND (NAD OR ""nicotinamide riboside"" OR NMN OR sirtuin)",35,ok,
2026-04-23T01:41:33,pubmed,(aging OR ageing OR senescence OR frailty) AND (senolytic OR senomorphic OR fisetin OR dasatinib OR quercetin),35,ok,
2026-04-23T01:41:36,europe_pmc,(aging OR ageing OR senescence OR frailty) AND (senolytic OR senomorphic OR fisetin OR dasatinib OR quercetin),35,ok,
2026-04-23T01:41:38,crossref,(aging OR ageing OR senescence OR frailty) AND (senolytic OR senomorphic OR fisetin OR dasatinib OR quercetin),35,ok,
2026-04-23T01:41:42,pubmed,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",35,ok,
2026-04-23T01:41:44,europe_pmc,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",35,ok,
2026-04-23T01:41:45,crossref,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",35,ok,
2026-04-23T01:41:48,pubmed,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",35,ok,
2026-04-23T01:41:50,europe_pmc,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",35,ok,
2026-04-23T01:41:51,crossref,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",35,ok,
2026-04-23T01:41:54,pubmed,"(aging OR ageing OR rejuvenation) AND (parabiosis OR ""young plasma"" OR ""plasma dilution"")",35,ok,
2026-04-23T01:41:56,europe_pmc,"(aging OR ageing OR rejuvenation) AND (parabiosis OR ""young plasma"" OR ""plasma dilution"")",35,ok,
2026-04-23T01:41:58,crossref,"(aging OR ageing OR rejuvenation) AND (parabiosis OR ""young plasma"" OR ""plasma dilution"")",35,ok,
